trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
268,False,"{'a': 0.1, 'e': 0.06856315415427791}",25,8,31.87976425765223,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.1, 'e': 0.06788093937176144}",25,11,-19.1641309553466,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
270,False,"{'a': 0.1, 'e': 0.06720551273974976}",20,16,7.8350191920886845,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.1, 'e': 0.06653680671501686}",20,11,15.689234362656387,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.1, 'e': 0.06587475442640295}",25,11,24.227504821779082,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.1, 'e': 0.06521928966812753}",25,8,33.95662642827082,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.1, 'e': 0.06457034689316847}",30,13,31.348207230184794,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.1, 'e': 0.06392786120670757}",20,12,2.673542323541872,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
276,False,"{'a': 0.1, 'e': 0.0632917683596407}",25,20,11.024145704156336,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.1, 'e': 0.06266200474215315}",20,3,18.23341234230358,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.1, 'e': 0.06203850737735829}",25,12,-13.874994291201928,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
279,False,"{'a': 0.1, 'e': 0.06142121391500013}",20,15,11.587380212926837,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.1, 'e': 0.06081006262521795}",25,16,18.448857376125336,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.1, 'e': 0.06020499239237354}",20,13,13.267543056453153,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.1, 'e': 0.05960594270893937}",25,12,25.96208652118385,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.1, 'e': 0.05901285366944784}",25,17,13.367990680268747,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.1, 'e': 0.05842566596450083}",20,3,16.347748342780445,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.1, 'e': 0.057844320874838456}",20,5,28.539548607680214,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.1, 'e': 0.05726876026546736}",25,11,26.87395177372548,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.1, 'e': 0.0566989265798469}",35,21,-28.421884637036793,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
288,False,"{'a': 0.1, 'e': 0.056134762834133725}",35,17,28.82055560745831,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.1, 'e': 0.05557621261148306}",20,9,20.867644765647434,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.1, 'e': 0.05502322005640723}",25,16,4.594273840573242,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
291,False,"{'a': 0.1, 'e': 0.05447572986918986}",30,13,33.41961234255431,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.1, 'e': 0.05393368730035602}",30,18,22.562481515421666,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
